"","follow","birthyr","turnout12","vote12","meet","march","compromise","ftobama","ftblack","ftwhite","fthisp","ftgay","fttrump","fthrc","ftsanders","ftpolice","ftfem","ftmuslim","ftsci","econnow","lcself","disc_b","disc_h","disc_g","disc_w","disc_m","disc_fed","disc_police","immig_numb","terror_worry","healthspend","finwell","warmcause","freetrade","stopblack","stop_ever","birthright_b","bo_muslim","amer_ident","marstat","employ","educ","gender","race","pid3","pid7","ideo5","pew_churatd","faminc","weight","dpolice.new"
"133","Some of the Time",1959,"Definitely voted","Mitt Romney","Very Likely","Have not done this in past 4 years","Sticks to his or her principles",12,50,50,49,44,88,31,53,91,39,34,31,"4","Closer to conservatives","None at all","None at all","A little","A little","None at all","Treats both the same","Treats both the same","Decreased a moderate amount","Not asked","No Change","A little worse","About equally by human activity and natural causes","Neither favor nor oppose","Sometimes","Never happened","Not asked","Muslim","Extremely important","Married","Full-time","High school graduate","Female","White","Republican","Strong Republican","Conservative","Once a week",8,0.839315286,"Treats both the same"
"134","Some of the Time",1962,"Definitely voted","Barack Obama","A little likely","Have not done this in past 4 years","Sticks to his or her principles",95,89,81,79,91,11,91,71,50,81,72,79,"2","Somewhat liberal","A lot","A little","A moderate amount","None at all","A moderate amount","Treats whites a little better","Treats whites much better","Kept the same","Not asked","Increase a little","A little better","Mostly by human activity","Neither favor nor oppose","Somewhat often","Has happened","Neither favor or oppose","Not a Muslim","Moderately important","Single","Part-time","High school graduate","Male","Black","Democrat","Strong Democrat","Liberal","Never",2,0.441164631,"Treats whites much better"
"135","Some of the Time",1941,"Definitely voted","Mitt Romney","A little likely","Have not done this in past 4 years","Compromies to get things done",11,62,99,94,70,61,60,60,100,60,10,88,"3","Neither liberal nor conservative","A moderate amount","A moderate amount","A moderate amount","A moderate amount","A little","Treats both the same","Treats both the same","Decreased a little","Extremely worried","No Change","A little better","Mostly by human activity","Oppose a little","Very often","Never happened","Oppose moderately","Muslim","Extremely important","Married","Retired","High school graduate","Female","White","Democrat","Weak Democrat","Moderate","Once or twice a month",4,0.527683464,"Treats both the same"
"136","Most of the time",1941,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Compromies to get things done",20,50,61,50,50,90,10,10,69,50,50,81,"4","Neither liberal nor conservative","A moderate amount","A moderate amount","A moderate amount","None at all","None at all","Treats whites much better","Treats whites much better","Increased a little","Moderately worried","Decrease a little","Moderately better","About equally by human activity and natural causes","Neither favor nor oppose","Somewhat often","Never happened","Oppose moderately","Not a Muslim","Extremely important","Widowed","Homemaker","High school graduate","Female","White","Republican","Weak Republican","Moderate","A few times a year",6,0.676312612,"Treats whites much better"
"137","Hardly at all",1950,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Compromies to get things done",31,90,96,88,50,10,4,49,97,43,8,95,"3","Neither liberal nor conservative","A little","A little","A moderate amount","A great deal","A moderate amount","Treats blacks a little better","Treats both the same","Decreased a lot","Not asked","No Change","Moderately worse","Mostly by natural causes","Neither favor nor oppose","Never","Not asked","Not asked","Muslim","Extremely important","Married","Retired","High school graduate","Female","White","Republican","Weak Republican","Not sure","Never",2,0.247985977,"Treats both the same"
"138","Only now and then",1938,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",50,48,45,71,66,0,1,67,27,59,2,72,"2","Somewhat conservative","A great deal","A great deal","A great deal","None at all","A little","Treats whites much better","Treats whites much better","Kept the same","Not asked","No Change","A little worse","About equally by human activity and natural causes","Opposed a great deal","Very often","Not asked","Not asked","Muslim","Extremely important","Married","Retired","High school graduate","Male","Hispanic","Democrat","Weak Democrat","Conservative","Once a week",6,0.395822033,"Treats whites much better"
"139","Most of the time",1960,"Definitely voted","Mitt Romney","A little likely","Have not done this in past 4 years","Sticks to his or her principles",1,61,62,58,9,19,3,11,81,41,35,89,"5","Somewhat conservative","None at all","A little","None at all","A lot","A lot","Treats Blacks much better","Treats both the same","Decreased a little","Not asked","Increase a little","Moderately worse","Mostly by natural causes","Neither favor nor oppose","Rarely","Has happened","Oppose a great deal","Muslim","Extremely important","Married","Full-time","High school graduate","Male","White","Democrat","Weak Democrat","Conservative","A few times a year",9,1.331782758,"Treats both the same"
"140","Only now and then",1978,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",16,50,63,70,45,62,4,41,59,49,45,49,"2","Neither liberal nor conservative","A moderate amount","A little","A moderate amount","None at all","None at all","Treats both the same","Treats both the same","Decreased a little","Moderately worried","No Change","A little better","Mostly by natural causes","Oppose a little","Sometimes","Has happened","Not asked","Muslim","Very important","Married","Homemaker","High school graduate","Male","Hispanic","Democrat","Weak Democrat","Moderate","Never",6,0.23558519,"Treats both the same"
"141","Most of the time",1948,"Definitely voted","Mitt Romney","A little likely","Have not done this in past 4 years","Sticks to his or her principles",2,90,86,83,91,61,59,64,92,63,79,63,"4","Neither liberal nor conservative","A moderate amount","A moderate amount","A moderate amount","A little","A little","Treats both the same","Treats whites a little better","Kept the same","Extremely worried","Decrease a little","A little better","About equally by human activity and natural causes","Neither favor nor oppose","Sometimes","Never happened","Not asked","Not a Muslim","Extremely important","Divorced","Part-time","No HS","Female","White","Indepent","Independent","Moderate","Once or twice a month",5,1.219136006,"Treats whites a little better"
"142","Most of the time",1959,"Definitely voted","Barack Obama","Extremely Likely","Have not done this in past 4 years","Sticks to his or her principles",100,80,100,70,100,0,100,70,100,100,79,100,"1","Very liberal","A great deal","A little","A great deal","None at all","None at all","Treats both the same","Treats whites much better","Kept the same","Not asked","Increase a great deal","The same as 20 years ago","Mostly by human activity","Favor a great deal","Never","Not asked","Neither favor or oppose","Not a Muslim","Extremely important","Married","Full-time","4-year","Male","White","Democrat","Strong Democrat","Very liberal","Never",97,0.348765269,"Treats whites much better"
"143","Most of the time",1961,"Definitely voted","Barack Obama","Extremely Likely","Have done this in past 4 years","Sticks to his or her principles",89,57,60,100,100,2,97,75,30,81,95,51,"1","Very liberal","A great deal","A great deal","A great deal","None at all","None at all","Treats whites much better","Treats whites much better","Increased a little","Moderately worried","Increase a great deal","A little better","Mostly by human activity","Opposed a great deal","Very often","Not asked","Oppose moderately","Not a Muslim","Extremely important","Married","Full-time","4-year","Male","Hispanic","Democrat","Lean Democrat","Very liberal","Never",6,0.353921628,"Treats whites much better"
"144","Hardly at all",1956,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Compromies to get things done",75,75,75,100,79,20,86,67,69,97,51,91,"2","Closer to liberals","A moderate amount","A moderate amount","A moderate amount","None at all","None at all","Treats whites much better","Treats whites much better","Kept the same","Slightly worried","Increase a little","A little worse","Mostly by human activity","Favor a little","Somewhat often","Not asked","Favor moderately","Not a Muslim","Moderately important","Single","Full-time","Post-grad","Female","White","Indepent","Lean Democrat","Moderate","Seldom",12,1.096906671,"Treats whites much better"
"145","Only now and then",1977,"Probably did not vote","Not asked","Not at all likely","Have not done this in past 4 years","Compromies to get things done",7,76,100,76,2,79,4,17,99,16,2,99,"3","Somewhat conservative","A little","A little","A moderate amount","A little","A little","Treats blacks a little better","Treats both the same","Kept the same","Moderately worried","No Change","A little better","Mostly by natural causes","Neither favor nor oppose","Sometimes","Not asked","Not asked","Not a Muslim","Moderately important","Single","Permanently disabled","High school graduate","Male","White","Republican","Strong Republican","Conservative","Seldom",4,2.838458398,"Treats both the same"
"146","Most of the time",1959,"Definitely voted","Barack Obama","Very Likely","Have not done this in past 4 years","Compromies to get things done",89,95,45,85,79,10,71,66,66,56,71,85,"2","Somewhat liberal","A lot","A moderate amount","A lot","A little","A little","Treats whites much better","Treats whites much better","Kept the same","Not asked","Incrase moderately","A great deal better","Mostly by human activity","Favor moderately","Somewhat often","Not asked","Not asked","Not a Muslim","Moderately important","Married","Full-time","Post-grad","Male","Black","Democrat","Strong Democrat","Moderate","A few times a year",7,0.514290326,"Treats whites much better"
"147","Only now and then",1955,"Probably did not vote","Not asked","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",2,50,45,65,6,48,6,51,96,50,18,22,"5","Neither liberal nor conservative","A moderate amount","A little","A moderate amount","A little","None at all","Treats both the same","Treats both the same","Increased a little","Very worried","Increase a great deal","A great deal worse","Mostly by natural causes","Oppose moderately","Rarely","Not asked","Neither favor or oppose","Muslim","Extremely important","Married","Full-time","High school graduate","Female","White","Republican","Strong Republican","Moderate","Seldom",3,0.654864022,"Treats both the same"
"148","Some of the Time",1982,"Definitely voted","Mitt Romney","Very Likely","Have not done this in past 4 years","Sticks to his or her principles",3,15,74,9,0,90,0,2,72,5,10,67,"3","Somewhat conservative","None at all","None at all","None at all","None at all","None at all","Treats both the same","Treats both the same","Kept the same","Not asked","Increase a great deal","A great deal worse","Mostly by natural causes","Neither favor nor oppose","Sometimes","Not asked","Not asked","Muslim","Moderately important","Single","Full-time","No HS","Male","White","Republican","Strong Republican","Conservative","More than once a week",2,1.544235285,"Treats both the same"
"149","Most of the time",1965,"Definitely voted","Barack Obama","A little likely","Have not done this in past 4 years","Compromies to get things done",95,60,75,80,50,41,65,100,75,60,56,75,"2","Somewhat liberal","A great deal","A great deal","A moderate amount","A great deal","A little","Treats both the same","Treats both the same","Increased a moderate amount","Not at all worried","Decrease a little","A little better","About equally by human activity and natural causes","Oppose a little","Somewhat often","Has happened","Not asked","Not a Muslim","Extremely important","Married","Full-time","High school graduate","Male","White","Democrat","Strong Democrat","Liberal","Once a week",9,0.86733029,"Treats both the same"
"150","Most of the time",1975,"Definitely voted","Barack Obama","Very Likely","Have not done this in past 4 years","Compromies to get things done",9,12,50,50,100,84,4,70,63,5,50,52,"2","Neither liberal nor conservative","A little","A little","A lot","A little","None at all","Treats both the same","Treats both the same","Decreased a little","Not asked","Decrease moderately","A little worse","Mostly by human activity","Oppose a little","Somewhat often","Not asked","Not asked","Not a Muslim","A little important","Married","Full-time","4-year","Female","White","Indepent","Independent","Conservative","Seldom",9,1.258651558,"Treats both the same"
"151","Only now and then",1964,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Compromies to get things done",0,23,78,0,100,94,40,71,90,69,0,50,"3","Neither liberal nor conservative","A moderate amount","A moderate amount","A great deal","A moderate amount","A moderate amount","Treats Blacks much better","Treats whites a little better","Decreased a lot","Not asked","Increase a great deal","The same as 20 years ago","Mostly by human activity","Neither favor nor oppose","Sometimes","Never happened","Not asked","Not a Muslim","Extremely important","Divorced","Full-time","High school graduate","Female","White","Republican","Weak Republican","Moderate","Never",2,0.654864022,"Treats whites a little better"
"152","Some of the Time",1953,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Compromies to get things done",0,1,100,2,70,95,1,0,59,50,1,66,"2","Very conservative","A great deal","A moderate amount","A little","A little","None at all","Treats whites much better","Treats whites moderately better","Decreased a lot","Very worried","No Change","A little better","About equally by human activity and natural causes","Favor moderately","Somewhat often","Has happened","Not asked","Muslim","Extremely important","Married","Full-time","High school graduate","Male","White","Republican","Strong Republican","Very conservative","Seldom",97,0.318027116,"Treats whites moderately better"
"153","Some of the Time",1950,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",31,88,92,90,87,20,12,29,92,45,21,98,"3","Somewhat conservative","A moderate amount","A little","A moderate amount","A little","None at all","Treats both the same","Treats whites a little better","Kept the same","Very worried","Increase a little","A little better","About equally by human activity and natural causes","Neither favor nor oppose","Somewhat often","Never happened","Not asked","Not a Muslim","Extremely important","Divorced","Retired","High school graduate","Female","White","Republican","Weak Republican","Conservative","Once a week",4,0.676312612,"Treats whites a little better"
"154","Most of the time",1955,"Definitely voted","Mitt Romney","Very Likely","Have not done this in past 4 years","Sticks to his or her principles",1,45,96,21,31,96,0,30,84,26,33,88,"4","Somewhat conservative","A moderate amount","A lot","A little","A little","None at all","Treats whites moderately better","Treats whites moderately better","Decreased a little","Moderately worried","Incrase moderately","The same as 20 years ago","Mostly by natural causes","Oppose a little","Somewhat often","Never happened","Oppose a great deal","Muslim","Extremely important","Married","Retired","High school graduate","Female","White","Republican","Weak Republican","Conservative","Once a week",9,1.055685966,"Treats whites moderately better"
"155","Only now and then",1972,"Probably did not vote","Not asked","Not at all likely","Have not done this in past 4 years","Compromies to get things done",75,66,68,48,61,65,70,51,10,42,37,81,"3","Closer to conservatives","A lot","A lot","A great deal","A little","None at all","Treats whites a little better","Treats whites much better","Decreased a lot","Very worried","Increase a little","Moderately worse","About equally by human activity and natural causes","Favor a little","Very often","Has happened","Not asked","Not a Muslim","Very important","Domestic Partnership","Other","High school graduate","Male","White","Other","Independent","Conservative","Never",2,0.263934577,"Treats whites much better"
"156","Most of the time",1955,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",100,95,85,75,30,1,100,95,90,80,90,100,"2","Closer to liberals","A lot","A little","A little","None at all","A little","Treats both the same","Treats whites much better","Kept the same","Not at all worried","Increase a little","A little better","Mostly by human activity","Neither favor nor oppose","Sometimes","Never happened","Not asked","Not a Muslim","Moderately important","Domestic Partnership","Full-time","Some college","Male","Black","Democrat","Strong Democrat","Moderate","Once a week",8,1.185184125,"Treats whites much better"
"157","Most of the time",1964,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Compromies to get things done",0,100,100,100,100,71,0,50,67,100,66,10,"3","Very conservative","A moderate amount","A moderate amount","A moderate amount","A moderate amount","A moderate amount","Treats both the same","Treats both the same","Kept the same","Moderately worried","No Change","The same as 20 years ago","About equally by human activity and natural causes","Neither favor nor oppose","Sometimes","Never happened","Favor a little","Not a Muslim","Extremely important","Married","Full-time","High school graduate","Male","White","Republican","Strong Republican","Very conservative","Never",5,0.676722337,"Treats both the same"
"158","Some of the Time",1958,"Probably did not vote","Not asked","Not at all likely","Have not done this in past 4 years","Compromies to get things done",0,92,95,97,1,12,0,1,100,50,0,5,"5","Neither liberal nor conservative","A great deal","A lot","None at all","A great deal","A great deal","Treats whites moderately better","Treats both the same","Decreased a lot","Extremely worried","Increase a great deal","A great deal worse","About equally by human activity and natural causes","Neither favor nor oppose","Sometimes","Not asked","Not asked","Muslim","Extremely important","Married","Permanently disabled","No HS","Male","White","Indepent","Independent","Conservative","More than once a week",2,0.678463826,"Treats both the same"
"159","Most of the time",1953,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Compromies to get things done",90,99,100,100,100,1,66,100,75,100,100,100,"1","Very liberal","A lot","A moderate amount","A lot","None at all","None at all","Treats whites much better","Treats whites much better","Increased a little","Not asked","Increase a great deal","A great deal worse","Mostly by human activity","Opposed a great deal","Very often","Not asked","Oppose a little","Not a Muslim","Very important","Married","Permanently disabled","No HS","Male","White","Democrat","Strong Democrat","Very liberal","Never",97,0.197786533,"Treats whites much better"
"160","Some of the Time",1942,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",1,70,95,60,40,70,1,1,100,59,15,80,"4","Very conservative","A great deal","A moderate amount","A moderate amount","A little","A little","Treats whites moderately better","Treats whites moderately better","Decreased a little","Moderately worried","Decrease moderately","Moderately worse","About equally by human activity and natural causes","Oppose moderately","Sometimes","Not asked","Not asked","Muslim","Extremely important","Married","Retired","High school graduate","Female","White","Republican","Weak Republican","Very conservative","Seldom",4,0.247985977,"Treats whites moderately better"
"161","Some of the Time",1950,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",0,100,100,100,59,20,0,31,100,59,22,75,"5","Closer to conservatives","A moderate amount","A moderate amount","A moderate amount","A moderate amount","A moderate amount","Treats both the same","Treats both the same","Decreased a lot","Extremely worried","Increase a little","A great deal worse","About equally by human activity and natural causes","Oppose a little","Very often","Has happened","Not asked","Muslim","Extremely important","Widowed","Retired","High school graduate","Female","White","Indepent","Lean Republican","Moderate","Seldom",1,0.850662136,"Treats both the same"
"162","Some of the Time",1964,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Compromies to get things done",95,100,100,100,100,60,100,90,90,100,80,100,"3","Very liberal","A little","A little","A moderate amount","None at all","None at all","Treats both the same","Treats whites a little better","Kept the same","Slightly worried","No Change","A little worse","Mostly by human activity","Neither favor nor oppose","Sometimes","Not asked","Not asked","Not a Muslim","Very important","Single","Full-time","High school graduate","Female","Mixed","Democrat","Strong Democrat","Very liberal","Seldom",5,0.270987542,"Treats whites a little better"
"163","Most of the time",1946,"Definitely voted","Barack Obama","Very Likely","Have not done this in past 4 years","Compromies to get things done",90,86,86,71,20,61,85,67,100,42,10,94,"2","Neither liberal nor conservative","A moderate amount","A lot","A lot","A little","A little","Treats blacks a little better","Treats both the same","Decreased a lot","Not asked","Increase a little","Moderately better","Mostly by human activity","Oppose a little","Sometimes","Not asked","Not asked","Muslim","Extremely important","Married","Retired","High school graduate","Male","White","Democrat","Weak Democrat","Moderate","Once a week",7,1.283960369,"Treats both the same"
"164","Only now and then",1972,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",47,48,35,92,1,0,33,50,36,1,14,48,"2","Neither liberal nor conservative","A little","A moderate amount","None at all","None at all","None at all","Treats whites moderately better","Treats whites moderately better","Decreased a little","Not asked","Incrase moderately","Moderately better","About equally by human activity and natural causes","Opposed a great deal","Somewhat often","Not asked","Oppose a little","Muslim","Very important","Married","Homemaker","4-year","Female","Hispanic","Democrat","Weak Democrat","Moderate","Once a week",97,0.482795806,"Treats whites moderately better"
"165","Most of the time",1938,"Definitely voted","Mitt Romney","A little likely","Have not done this in past 4 years","Compromies to get things done",2,72,92,74,70,41,1,41,99,31,21,90,"5","Somewhat conservative","A moderate amount","A little","A moderate amount","A moderate amount","A lot","Treats blacks a little better","Treats whites a little better","Increased a little","Very worried","Decrease a great deal","A little better","Mostly by natural causes","Favor moderately","Rarely","Has happened","Oppose a great deal","Muslim","Extremely important","Married","Permanently disabled","No HS","Male","White","Republican","Strong Republican","Conservative","Seldom",6,2.118432759,"Treats whites a little better"
"166","Most of the time",1954,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",0,93,85,94,29,32,0,1,97,19,13,86,"4","Closer to conservatives","A moderate amount","A moderate amount","A moderate amount","A moderate amount","A lot","Treats blacks a little better","Treats whites a little better","Kept the same","Very worried","Decrease a great deal","A little worse","Mostly by natural causes","Oppose moderately","Somewhat often","Has happened","Oppose a great deal","Not a Muslim","Very important","Married","Full-time","Some college","Male","White","Republican","Weak Republican","Conservative","Seldom",7,1.653449489,"Treats whites a little better"
"167","Some of the Time",1954,"Probably did not vote","Not asked","Not at all likely","Have not done this in past 4 years","Compromies to get things done",16,60,73,68,51,41,24,27,78,50,50,70,"4","Neither liberal nor conservative","A moderate amount","A moderate amount","A moderate amount","A little","A little","Treats both the same","Treats both the same","Decreased a little","Not asked","No Change","Moderately worse","About equally by human activity and natural causes","Favor a little","Sometimes","Never happened","Oppose a little","Not a Muslim","Extremely important","Married","Part-time","Some college","Female","White","Indepent","Independent","Moderate","Never",5,3.092336639,"Treats both the same"
"168","Most of the time",1990,"Definitely voted","Someone Else","Extremely Likely","Have done this in past 4 years","Sticks to his or her principles",5,50,50,50,0,0,0,55,60,1,30,50,"4","Somewhat conservative","A little","A little","A little","A little","A little","Treats blacks a little better","Treats whites a little better","Increased a little","Moderately worried","Decrease moderately","A little better","Mostly by natural causes","Oppose moderately","Sometimes","Has happened","Not asked","Not a Muslim","Very important","Single","Full-time","4-year","Male","White","Indepent","Independent","Conservative","Once or twice a month",6,2.23231475,"Treats whites a little better"
"169","Some of the Time",1981,"Definitely voted","Barack Obama","Moderately likely","Have not done this in past 4 years","Sticks to his or her principles",78,50,51,49,48,33,41,60,40,49,48,66,"3","Closer to liberals","A moderate amount","A moderate amount","A moderate amount","A little","A little","Treats whites a little better","Treats whites moderately better","Kept the same","Moderately worried","No Change","A little better","About equally by human activity and natural causes","Favor a little","Somewhat often","Never happened","Favor moderately","Not a Muslim","Moderately important","Single","Full-time","4-year","Female","Asian","Democrat","Weak Democrat","Liberal","Never",9,0.443704404,"Treats whites moderately better"
"170","Most of the time",1950,"Definitely voted","Mitt Romney","A little likely","Have not done this in past 4 years","Sticks to his or her principles",0,9,100,53,0,92,0,0,95,10,0,46,"5","Very conservative","A little","A little","A little","A moderate amount","A moderate amount","Treats blacks moderately better","Treats both the same","Decreased a lot","Not asked","Decrease a great deal","Moderately worse","Mostly by natural causes","Oppose moderately","Sometimes","Not asked","Not asked","Muslim","Very important","Married","Full-time","Post-grad","Male","White","Indepent","Weak Republican","Conservative","Seldom",11,1.420223586,"Treats both the same"
"171","Most of the time",1980,"Definitely voted","Mitt Romney","A little likely","Have not done this in past 4 years","Compromies to get things done",1,55,51,39,54,90,6,5,51,20,11,51,"4","Somewhat liberal","A moderate amount","A moderate amount","A moderate amount","A moderate amount","A moderate amount","Treats both the same","Treats both the same","Kept the same","Extremely worried","No Change","A little better","About equally by human activity and natural causes","Neither favor nor oppose","Rarely","Never happened","Neither favor or oppose","Muslim","Extremely important","Married","Homemaker","High school graduate","Female","White","Indepent","Independent","Not sure","A few times a year",3,1.220975527,"Treats both the same"
"172","Most of the time",1940,"Definitely voted","Barack Obama","Very Likely","Have not done this in past 4 years","Compromies to get things done",91,87,88,85,88,0,75,86,91,98,73,97,"2","Somewhat liberal","A lot","A lot","A moderate amount","None at all","None at all","Treats whites a little better","Treats whites a little better","Increased a little","Slightly worried","Incrase moderately","A little worse","Mostly by human activity","Favor a little","Somewhat often","Never happened","Favor moderately","Not a Muslim","Extremely important","Divorced","Retired","2-year","Female","White","Democrat","Strong Democrat","Liberal","Once a week",3,1.520709014,"Treats whites a little better"
"173","Most of the time",1936,"Definitely voted","Mitt Romney","Extremely Likely","Have not done this in past 4 years","Sticks to his or her principles",6,100,100,66,0,100,0,0,100,50,0,100,"5","Very conservative","None at all","None at all","None at all","A lot","None at all","Treats Blacks much better","Treats both the same","Decreased a lot","Not asked","No Change","A great deal worse","About equally by human activity and natural causes","Opposed a great deal","Sometimes","Has happened","Not asked","Muslim","Extremely important","Married","Full-time","High school graduate","Male","White","Republican","Strong Republican","Very conservative","More than once a week",3,0.232020219,"Treats both the same"
"174","Most of the time",1961,"Definitely voted","Barack Obama","Moderately likely","Have not done this in past 4 years","Compromies to get things done",97,100,55,100,100,0,61,100,70,100,100,100,"2","Very liberal","A great deal","A great deal","A great deal","None at all","None at all","Treats whites much better","Treats whites much better","Increased a lot","Not asked","Increase a great deal","A great deal worse","Mostly by human activity","Opposed a great deal","Very often","Not asked","Not asked","Not a Muslim","Moderately important","Married","Part-time","4-year","Female","Mixed","Democrat","Strong Democrat","Very liberal","Never",1,0.270987542,"Treats whites much better"
"175","Some of the Time",1986,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",3,19,61,30,5,69,1,9,49,5,6,47,"3","Somewhat conservative","A little","A little","A lot","A little","A little","Treats both the same","Treats whites a little better","Decreased a little","Moderately worried","Decrease moderately","The same as 20 years ago","Mostly by human activity","Oppose a little","Sometimes","Not asked","Oppose a great deal","Muslim","Extremely important","Single","Full-time","4-year","Female","White","Republican","Weak Republican","Conservative","Once a week",6,1.03804325,"Treats whites a little better"
"176","Most of the time",1954,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",0,51,98,51,50,60,0,12,91,51,6,70,"4","Somewhat conservative","A moderate amount","A moderate amount","A moderate amount","A moderate amount","A little","Treats blacks moderately better","Treats both the same","Decreased a lot","Very worried","No Change","Moderately worse","About equally by human activity and natural causes","Neither favor nor oppose","Sometimes","Has happened","Oppose a great deal","Muslim","Extremely important","Divorced","Permanently disabled","Some college","Male","White","Indepent","Lean Republican","Conservative","Seldom",3,1.653449489,"Treats both the same"
"177","Most of the time",1959,"Definitely voted","Mitt Romney","Very Likely","Have not done this in past 4 years","Compromies to get things done",2,58,68,55,56,84,1,65,87,45,5,49,"4","Somewhat conservative","A little","A little","A little","A moderate amount","A moderate amount","Treats blacks moderately better","Treats both the same","Decreased a moderate amount","Not asked","Decrease moderately","The same as 20 years ago","About equally by human activity and natural causes","Favor moderately","Sometimes","Not asked","Oppose a great deal","Not a Muslim","Moderately important","Married","Full-time","4-year","Male","White","Republican","Strong Republican","Conservative","Once a week",12,1.930007584,"Treats both the same"
"178","Most of the time",1959,"Probably did not vote","Not asked","A little likely","Have not done this in past 4 years","Compromies to get things done",25,76,76,74,78,97,12,72,96,26,65,97,"3","Somewhat conservative","A little","A little","A little","A little","A little","Treats blacks moderately better","Treats both the same","Kept the same","Not asked","Increase a great deal","Moderately worse","About equally by human activity and natural causes","Neither favor nor oppose","Sometimes","Has happened","Not asked","Not a Muslim","Extremely important","Married","Homemaker","High school graduate","Female","White","Republican","Weak Republican","Conservative","A few times a year",1,1.288765813,"Treats both the same"
"179","Some of the Time",1968,"Probably did not vote","Not asked","Not at all likely","Have not done this in past 4 years","Compromies to get things done",88,80,99,97,100,70,100,95,98,61,80,97,"2","Somewhat liberal","A moderate amount","A moderate amount","A lot","A little","A little","Treats whites a little better","Treats whites a little better","Kept the same","Not asked","Increase a little","A little worse","Mostly by human activity","Neither favor nor oppose","Sometimes","Never happened","Oppose a great deal","Not a Muslim","Very important","Single","Unemployed","2-year","Female","White","Democrat","Strong Democrat","Liberal","Never",3,2.931185185,"Treats whites a little better"
"180","Most of the time",1946,"Definitely voted","Mitt Romney","A little likely","Have not done this in past 4 years","Sticks to his or her principles",10,51,79,50,2,66,1,10,91,41,1,20,"5","Somewhat conservative","A little","A little","A little","A great deal","A great deal","Treats Blacks much better","Treats both the same","Decreased a moderate amount","Not asked","Decrease a great deal","Moderately better","Mostly by human activity","Opposed a great deal","Sometimes","Not asked","Not asked","Muslim","Extremely important","Married","Retired","No HS","Male","White","Indepent","Independent","Conservative","Seldom",3,2.118432759,"Treats both the same"
"181","Some of the Time",1932,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",23,83,67,38,13,93,13,28,45,45,8,73,"4","Neither liberal nor conservative","A lot","A moderate amount","A moderate amount","A moderate amount","A moderate amount","Treats both the same","Treats both the same","Decreased a little","Very worried","Increase a little","A little better","About equally by human activity and natural causes","Favor a little","Somewhat often","Has happened","Not asked","Muslim","Extremely important","Widowed","Retired","High school graduate","Female","White","Republican","Weak Republican","Conservative","More than once a week",2,0.676312612,"Treats both the same"
"182","Most of the time",1957,"Definitely voted","Mitt Romney","A little likely","Have not done this in past 4 years","Compromies to get things done",0,10,95,10,0,90,0,0,75,2,10,15,"4","Somewhat conservative","A moderate amount","A lot","A lot","A little","None at all","Treats both the same","Treats both the same","Kept the same","Slightly worried","Decrease a great deal","Moderately worse","Mostly by natural causes","Oppose a little","Never","Not asked","Not asked","Muslim","Very important","Divorced","Full-time","4-year","Female","White","Republican","Weak Republican","Conservative","Never",4,1.36444069,"Treats both the same"
"183","Only now and then",1955,"Definitely voted","Barack Obama","A little likely","Have not done this in past 4 years","Sticks to his or her principles",72,87,54,53,1,0,73,86,76,21,86,61,"3","Neither liberal nor conservative","A lot","A moderate amount","A moderate amount","A little","A little","Treats whites moderately better","Treats whites much better","Kept the same","Moderately worried","Increase a great deal","Moderately worse","About equally by human activity and natural causes","Neither favor nor oppose","Very often","Never happened","Not asked","Not a Muslim","Extremely important","Widowed","Retired","No HS","Female","Black","Democrat","Strong Democrat","Liberal","Once or twice a month",5,0.225374747,"Treats whites much better"
